樂行童軍進度追蹤系統	Rover Scout Progress Tracker
樂行童軍進度追蹤	Rover Scout Progress Tracker
樂行童軍進度追蹤系統 v5.0 - 手機友善・批量開戶・全前端控制	Rover Scout Progress Tracker v5.0 - Mobile friendly · Bulk onboarding · Full front-end control
樂行童軍進度追蹤 v4.2	Rover Scout Progress Tracker v4.2
Rover Scout Progress Tracker v4.2 • 貝登堡獎章 Logo + 2026年第5版綱要	Rover Scout Progress Tracker v4.2 • Baden-Powell Award logo + 2026 5th Edition Scheme
基於 2026年第5版《樂行童軍訓練綱要》 | 支援離線暫存 • 批量寫入 • 批量開戶 • 全前端控制 • 保護兒童 Safe from Harm	Based on the 5th Edition of the Rover Scout Training Scheme (2026) | Offline staging • Batch writing • Bulk onboarding • Full front-end control • Safe from Harm
基於 2026年第5版《樂行童軍訓練綱要》• 支援離線暫存•批量寫入•成員申請確認•表格自動填寫	Based on the 5th Edition of the Rover Scout Training Scheme (2026) • Offline staging • batch writing • member request confirmation • form auto-fill
COPYRIGHT 2026 Scout System • 樂行童軍進度追蹤系統 v5.0	COPYRIGHT 2026 Scout System • Rover Scout Progress Tracker v5.0
香港童軍總會	Scout Association of Hong Kong
🏠 進入系統	🏠 Enter System
📋 新旅團部署	📋 New Group Deployment
📖 使用教學	📖 User Guide
📦 版本更新紀錄（未來用於新版本後端GS及功能改動）	📦 Version History (for future backend GS versions and feature changes)
最新：v5.0 FINAL	Latest: v5.0 FINAL
• 目前 v5.0 FINAL 已穩定，測試完成	• v5.0 FINAL is stable and fully tested
• 新版本新增功能和改動說明	• New features and changes in this version
• 新版本後端 Code.gs 下載（記得保有舊資料 - initializeSheets 不會清舊資料）	• New backend Code.gs download (your old data is kept - initializeSheets does not clear old data)
框架保留，內容已精簡（依你要求移除舊修復資訊）	Framework kept, content streamlined (old fix notes removed per your request)
🆕 v5.1 新增	🆕 New in v5.1
此區未來用於：	This section will be used for:
PNG LOGO 256px、防卡死、批量、官方表格、細緻權限、MOCK測試、成員私隱開關、教學按角色分開	PNG logo 256px, freeze-proofing, batch, official forms, fine-grained permissions, MOCK testing, member privacy toggle, role-based help
包含待批、其他獎章、批量、PNG、私隱開關	Includes Pending, Other Badges, batch, PNG, privacy toggle
📍 請選擇您的旅團	📍 Please select your Group
🔄 重新載入	🔄 Reload
👀 試用 MOCK 效果 (免登入瀏覽器看)	👀 Try the MOCK demo (no login needed)
載入中...	Loading...
第 82 旅 (樂行)	82nd Group (Rover)
第 82 旅	82nd Group
選擇旅團	Select Group
未登入試用：	Try without logging in:
你而家用緊嘅	You are currently using
四級勾選架構 + 級聯自動完成	4-level ticking structure + auto cascade
12項 • 含保護兒童	12 items • incl. Safe from Harm
23項基礎技能	23 basic skills
4段章 100+選項	4 segments, 100+ options
4金帶 • 最高榮譽	4 Gold Bands • Highest honour
進度性獎章 (段章層級)	Progressive badges (segment level)
其他獎章 (逐個勾)	Other badges (tick individually)
🎖️ 管理委員會 管委	🎖️ Crew Management Committee (CMC)
👤 成員 member	👤 Member
👨‍💼 領袖 leader	👨‍💼 Leader
樂行童軍獎章	Rover Scout Award
貝登堡獎章	Baden-Powell Award
會員章	Membership Badge
肩章	Epaulettes
📋 新旅團部署指南 - 有主系統 / 無主系統 兩條路 (10分鐘)	📋 New Group Deployment Guide - with or without the main system, two tracks (10 min)
🌟 先了解一下：主系統平台是什麼？	🌟 First, understand: what is the main system platform?
